"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Elmo2"	5.03612809426893e-66	1.52866323417762	0.269	0.12	1.18736792078579e-61	"0"	"Elmo2"
"Mid1ip1"	6.65164583097253e-65	1.38496543357294	0.501	0.392	1.56825853756839e-60	"0"	"Mid1ip1"
"Rcn2"	1.02540896096013e-63	1.57146052122687	0.396	0.256	2.4176067072557e-59	"0"	"Rcn2"
"Tubb2b"	1.81210169198133e-63	1.453038437288	0.307	0.151	4.27239215918439e-59	"0"	"Tubb2b"
"Cspg5"	2.95309988099925e-63	0.774723889966468	0.435	0.267	6.96252358943194e-59	"0"	"Cspg5"
"Gm2a"	4.66165403294525e-63	1.4801921361263	0.314	0.16	1.0990781713475e-58	"0"	"Gm2a"
"Znrf3"	8.46736652062201e-60	1.64628048697769	0.361	0.227	1.99635100456705e-55	"0"	"Znrf3"
"Pygb"	7.63506363426367e-59	1.33770140614405	0.275	0.129	1.80011895305035e-54	"0"	"Pygb"
"Rgma"	1.69678494370611e-58	1.54683154207127	0.26	0.122	4.00050986177589e-54	"0"	"Rgma"
"Rab34"	1.9249517124451e-57	1.5904557631566	0.303	0.164	4.53845865243182e-53	"0"	"Rab34"
"Ntm"	6.23391860936136e-57	1.30238192806393	0.375	0.239	1.46977099052913e-52	"0"	"Ntm"
"Ddhd1"	6.44307130706553e-56	1.58716472994222	0.295	0.16	1.51908292206684e-51	"0"	"Ddhd1"
"Itm2c"	1.44172595589459e-55	1.12157528862132	0.562	0.518	3.39915728621267e-51	"0"	"Itm2c"
"Macf1"	1.31349258923785e-54	1.47099556971426	0.442	0.348	3.09682147764608e-50	"0"	"Macf1"
"Sash1"	5.22437562785202e-54	1.50655900794123	0.293	0.158	1.23175104177867e-49	"0"	"Sash1"
"Adcyap1r1"	1.75977660374467e-51	1.37267041427454	0.285	0.15	4.1490252986488e-47	"0"	"Adcyap1r1"
"Slc25a5"	5.68082025580353e-50	1.13623427245336	0.549	0.53	1.3393669917108e-45	"0"	"Slc25a5"
"Asrgl1"	8.70888472695297e-49	1.36964679455996	0.402	0.296	2.0532937520737e-44	"0"	"Asrgl1"
"Sat1"	4.62859277435982e-48	1.28832150696209	0.413	0.298	1.09128331841082e-43	"0"	"Sat1"
"Tmem229a"	3.78923004944643e-46	1.52458967378402	0.323	0.207	8.93386768757985e-42	"0"	"Tmem229a"
"Pmm1"	4.6267919166655e-44	1.55555228670256	0.369	0.275	1.09085873019222e-39	"0"	"Pmm1"
"Chpt1"	2.05266254552785e-43	1.48508785859062	0.288	0.171	4.83956248359102e-39	"0"	"Chpt1"
"Adk"	7.85134280481806e-43	1.4442634020476	0.257	0.141	1.85111109309195e-38	"0"	"Adk"
"Elovl5"	1.11873821308378e-42	1.46822951076264	0.315	0.207	2.63764908498763e-38	"0"	"Elovl5"
"Fads1"	1.92831611578369e-42	1.35799086409334	0.299	0.181	4.5463909061832e-38	"0"	"Fads1"
"Ptn"	4.79075106735977e-42	0.365036399403685	0.765	0.658	1.12951537915141e-37	"0"	"Ptn"
"Prkcdbp"	2.83517688834576e-41	1.23797970134738	0.257	0.138	6.68449654965279e-37	"0"	"Prkcdbp"
"Ncam1"	5.83948875824477e-41	0.92295991577766	0.562	0.562	1.37677626453137e-36	"0"	"Ncam1"
"mt-Cytb"	6.61434601572928e-40	0.343237377526966	0.954	0.972	1.55946436012849e-35	"0"	"mt-Cytb"
"Rsrp1"	1.3792186480147e-39	0.866958210029348	0.648	0.724	3.25178380642425e-35	"0"	"Rsrp1"
"Ahcyl1"	2.46260853360431e-39	1.49698913387827	0.372	0.29	5.80609213967888e-35	"0"	"Ahcyl1"
"Fut9"	1.26386847986143e-38	1.36999601189483	0.252	0.144	2.97982271496929e-34	"0"	"Fut9"
"Tsc22d3"	2.61890477825939e-37	1.41701390206912	0.445	0.403	6.17459179570217e-33	"0"	"Tsc22d3"
"Dtna"	2.29316305257378e-35	1.45165960877608	0.283	0.185	5.40659052905321e-31	"0"	"Dtna"
"Lrp1"	9.90126746040303e-35	1.13702493093119	0.322	0.217	2.33442182913922e-30	"0"	"Lrp1"
"Neat1"	2.84821598131534e-32	1.51205602256703	0.318	0.227	6.71523881914717e-28	"0"	"Neat1"
"Tubb2a"	4.78555599533994e-32	1.093873939478	0.368	0.29	1.1282905370213e-27	"0"	"Tubb2a"
"Slc3a2"	1.35443797188987e-29	1.1276163648127	0.325	0.236	3.19335840632474e-25	"0"	"Slc3a2"
"Scd2"	3.01483079126664e-28	0.360867884300057	0.741	0.607	7.10806655656936e-24	"0"	"Scd2"
"Paqr8"	3.54267382457928e-28	1.30351915540026	0.259	0.173	8.35256207621056e-24	"0"	"Paqr8"
"Smox"	1.792233128784e-27	1.22550048917377	0.287	0.204	4.22554804773404e-23	"0"	"Smox"
"Pik3ip1"	6.08009522031591e-26	1.27319631187749	0.281	0.204	1.43350405009388e-21	"0"	"Pik3ip1"
"Vimp"	7.89405699528598e-26	1.00116374235606	0.435	0.409	1.86118181777858e-21	"0"	"Vimp"
"Arhgap5"	9.57260795696308e-26	1.22809783700677	0.351	0.294	2.25693377801319e-21	"0"	"Arhgap5"
"Nrxn1"	2.03314932218234e-25	0.934890672322325	0.356	0.282	4.79355615690931e-21	"0"	"Nrxn1"
"Tprkb"	7.17656559920362e-25	1.35976540286867	0.264	0.188	1.69201887132424e-20	"0"	"Tprkb"
"Bola3"	3.16728605615657e-23	0.266533591950441	0.166	0.348	7.46751033460033e-19	"0"	"Bola3"
"Gabbr1"	9.205877040485e-23	1.02360735598016	0.456	0.471	2.17046962983515e-18	"0"	"Gabbr1"
"Npepps"	2.16294090586177e-22	0.257199020805898	0.133	0.291	5.0995657737503e-18	"0"	"Npepps"
"Dgcr6"	3.50305221909067e-22	0.280340891040556	0.163	0.339	8.25914621695008e-18	"0"	"Dgcr6"
"S100b"	9.96302151273137e-22	0.714288244585836	0.365	0.282	2.34898158205668e-17	"0"	"S100b"
"Msi2"	2.93218422539348e-21	1.30952432249215	0.255	0.189	6.9132107482102e-17	"0"	"Msi2"
"Dag1"	3.92436989234302e-21	1.18895407722333	0.254	0.183	9.25248689517713e-17	"0"	"Dag1"
"Mat2a"	9.81414505551298e-21	1.22707333902672	0.411	0.422	2.3138809797383e-16	"0"	"Mat2a"
"Chd4"	1.6784951393872e-20	0.275753244614007	0.186	0.375	3.9573879901332e-16	"0"	"Chd4"
"Txn2"	2.44673760633893e-20	0.306037549344359	0.187	0.372	5.76867325446531e-16	"0"	"Txn2"
"Srek1"	3.89689559767864e-20	0.297152409549127	0.122	0.262	9.18771075064693e-16	"0"	"Srek1"
"Glrx2"	5.77822998796996e-20	0.282705300125892	0.137	0.287	1.36233328426368e-15	"0"	"Glrx2"
"Tspan3"	1.43217318380879e-19	0.759542720711011	0.537	0.622	3.37663471546599e-15	"0"	"Tspan3"
"Tmem60"	3.27380237294712e-19	0.263721494923164	0.131	0.272	7.71864385469742e-15	"0"	"Tmem60"
"Mrpl51"	3.75774202297166e-19	0.271868709863468	0.154	0.312	8.85962836756028e-15	"0"	"Mrpl51"
"Gpm6b"	4.80362062374577e-19	0.683677904330119	0.451	0.396	1.13254963446054e-14	"0"	"Gpm6b"
"Eps15"	1.85166042056972e-18	0.282917524558251	0.128	0.266	4.36565977357723e-14	"0"	"Eps15"
"Amfr"	2.15595961711847e-18	0.299543899003321	0.147	0.296	5.08310598928021e-14	"0"	"Amfr"
